Section,Weight,Ix,Zx,Area,h,t
C-60x30x10x1.6,1.68,12.2,4.07,2.138,60,1.6
C-60x30x10x2.3,2.36,16.7,5.58,3.008,60,2.3
C-75x35x15x1.6,2.12,23.7,6.33,2.698,75,1.6
C-75x35x15x2.3,2.99,32.9,8.76,3.813,75,2.3
C-75x45x15x1.6,2.37,28.0,7.48,3.018,75,1.6
C-75x45x15x2.3,3.35,38.9,10.38,4.273,75,2.3
C-100x50x20x1.6,2.93,60.0,12.0,3.738,100,1.6
C-100x50x20x2.0,3.64,73.9,14.77,4.64,100,2.0
C-100x50x20x2.3,4.17,84.0,16.79,5.308,100,2.3
C-100x50x20x3.2,5.71,112.8,22.56,7.27,100,3.2
C-125x50x20x2.3,4.62,141.6,22.66,5.883,125,2.3
C-125x50x20x3.2,6.34,191.1,30.57,8.07,125,3.2
C-125x50x20x4.0,7.82,232.3,37.17,9.96,125,4.0
C-125x50x20x4.5,8.73,256.8,41.1,11.115,125,4.5
C-150x50x20x2.3,5.07,217.7,29.02,6.458,150,2.3
C-150x50x20x3.2,6.96,294.6,39.28,8.87,150,3.2
C-150x50x20x4.0,8.6,359.2,47.9,10.96,150,4.0
C-150x50x20x4.5,9.61,397.8,53.05,12.24,150,4.5
C-150x75x20x3.2,8.22,380.8,50.77,10.47,150,3.2
C-150x75x20x4.0,10.17,465.8,62.11,12.96,150,4.0
C-150x75x20x4.5,11.37,516.9,68.92,14.49,150,4.5
C-200x75x20x3.2,9.48,742.2,74.22,12.07,200,3.2
C-200x75x20x4.0,11.74,910.9,91.09,14.96,200,4.0
C-200x75x20x4.5,13.14,1013.1,101.31,16.74,200,4.5
C-200x75x20x6.0,17.24,1304.4,130.44,21.96,200,6.0
C-250x75x25x3.2,10.98,1288.1,103.05,13.99,250,3.2
C-250x75x25x4.0,13.63,1585.1,126.81,17.36,250,4.0
C-250x75x25x4.5,15.26,1765.8,141.26,19.44,250,4.5
C-250x75x25x6.0,20.06,2285.1,182.81,25.56,250,6.0
