Section,Weight,Area,Ix,Iy,Sx,Zx,ry,h,b,tw,tf
H-100x50x5x7,9.3,11.85,178.1,14.7,35.6,41.8,1.11,100,50,5.0,7.0
H-125x60x6x8,13.1,16.69,393.8,29.0,63.0,74.0,1.32,125,60,6.0,8.0
H-150x75x5x7,14.01,17.85,642.0,49.4,85.6,98.2,1.66,150,75,5.0,7.0
H-175x90x5x8,17.98,22.9,1172.3,97.4,134.0,151.8,2.06,175,90,5.0,8.0
H-198x99x4.5x7,18.2,23.18,1498.2,113.3,151.3,170.5,2.21,198,99,4.5,7.0
H-200x100x5.5x8,21.32,27.16,1760.9,133.6,176.1,200.2,2.22,200,100,5.5,8.0
H-248x124x5x8,25.65,32.68,3378.3,254.5,272.4,305.4,2.79,248,124,5.0,8.0
H-250x125x6x9,29.56,37.66,3892.9,293.4,311.4,351.9,2.79,250,125,6.0,9.0
H-298x149x5.5x8,32.03,40.8,6041.5,441.5,405.5,455.0,3.29,298,149,5.5,8.0
H-300x150x6.5x9,36.72,46.78,6932.5,506.9,462.2,522.1,3.29,300,150,6.5,9.0
H-346x174x6x9,41.36,52.68,10658.9,790.8,616.1,689.1,3.87,346,174,6.0,9.0
H-350x175x7x11,49.57,63.14,13123.5,983.5,749.9,840.8,3.95,350,175,7.0,11.0
H-396x199x7x11,56.64,72.16,19279.3,1445.8,973.7,1087.5,4.48,396,199,7.0,11.0
H-400x200x8x13,66.03,84.12,22964.9,1734.9,1148.2,1286.0,4.54,400,200,8.0,13.0
H-446x199x8x12,66.18,84.3,27505.5,1577.9,1233.4,1392.6,4.33,446,199,8.0,12.0
H-450x200x9x14,75.96,96.76,32258.9,1869.2,1433.7,1621.5,4.4,450,200,9.0,14.0
H-500x200x10x16,89.67,114.23,46036.5,2137.2,1841.5,2096.4,4.33,500,200,10.0,16.0
I-150x75x5.5x9.5 (Approx),16.84,21.45,807.4,67.0,107.6,123.7,1.77,150,75,5.5,9.5
I-200x100x7x10 (Approx),25.59,32.6,2146.9,167.2,214.7,246.7,2.26,200,100,7.0,10.0
I-250x125x7.5x12.5 (Approx),37.78,48.12,5122.7,407.7,409.8,466.0,2.91,250,125,7.5,12.5
