Section,Weight,Ix,Sx,Zx,Iy,Sy,Area,h,b,c,t
C-60x30x10x1.6,1.68,12.2,4.07,4.07,1.2,0.63,2.138,60,30,10,1.6
C-60x30x10x2.3,2.36,16.7,5.58,5.58,1.6,0.85,3.008,60,30,10,2.3
C-75x35x15x1.6,2.12,23.7,6.33,6.33,1.9,0.88,2.698,75,35,15,1.6
C-75x35x15x2.3,2.99,32.9,8.76,8.76,2.7,1.23,3.813,75,35,15,2.3
C-75x45x15x1.6,2.37,28.0,7.48,7.48,4.5,1.61,3.018,75,45,15,1.6
C-75x45x15x2.3,3.35,38.9,10.38,10.38,6.3,2.26,4.273,75,45,15,2.3
C-100x50x20x1.6,2.93,60.0,12.0,12.0,6.4,2.06,3.738,100,50,20,1.6
C-100x50x20x2.0,3.64,73.9,14.77,14.77,7.9,2.54,4.64,100,50,20,2.0
C-100x50x20x2.3,4.17,84.0,16.79,16.79,9.0,2.9,5.308,100,50,20,2.3
C-100x50x20x3.2,5.71,112.8,22.56,22.56,12.1,3.88,7.27,100,50,20,3.2
C-125x50x20x2.3,4.62,141.6,22.66,22.66,9.2,2.96,5.883,125,50,20,2.3
C-125x50x20x3.2,6.34,191.1,30.57,30.57,12.6,4.03,8.07,125,50,20,3.2
C-125x50x20x4.0,7.82,232.3,37.17,37.17,15.4,4.92,9.96,125,50,20,4.0
C-125x50x20x4.5,8.73,256.8,41.1,41.1,17.0,5.44,11.115,125,50,20,4.5
C-150x50x20x2.3,5.07,217.7,29.02,29.02,9.3,3.0,6.458,150,50,20,2.3
C-150x50x20x3.2,6.96,294.6,39.28,39.28,12.7,4.07,8.87,150,50,20,3.2
C-150x50x20x4.0,8.6,359.2,47.9,47.9,15.6,5.0,10.96,150,50,20,4.0
C-150x50x20x4.5,9.61,397.8,53.05,53.05,17.3,5.54,12.24,150,50,20,4.5
C-150x65x20x2.3,5.53,241.2,32.16,32.16,19.0,4.72,7.048,150,65,20,2.3
C-150x65x20x3.2,7.61,327.5,43.67,43.67,26.1,6.48,9.697,150,65,20,3.2
C-150x65x20x4.0,9.42,400.4,53.39,53.39,32.1,7.95,12.0,150,65,20,4.0
C-150x75x20x3.2,8.22,380.8,50.77,50.77,38.3,8.37,10.47,150,75,20,3.2
C-150x75x20x4.0,10.17,465.8,62.11,62.11,47.4,10.34,12.96,150,75,20,4.0
C-150x75x20x4.5,11.37,516.9,68.92,68.92,52.7,11.49,14.49,150,75,20,4.5
C-200x65x20x3.2,8.57,735.1,73.51,73.51,27.0,6.74,10.917,200,65,20,3.2
C-200x65x20x4.0,10.63,903.6,90.36,90.36,33.4,8.32,13.54,200,65,20,4.0
C-200x75x20x3.2,9.48,742.2,74.22,74.22,39.5,8.67,12.07,200,75,20,3.2
C-200x75x20x4.0,11.74,910.9,91.09,91.09,49.0,10.73,14.96,200,75,20,4.0
C-200x75x20x4.5,13.14,1013.1,101.31,101.31,54.6,11.96,16.74,200,75,20,4.5
C-200x75x20x6.0,17.24,1304.4,130.44,130.44,71.1,15.56,21.96,200,75,20,6.0
C-200x100x25x3.2,10.98,857.2,85.72,85.72,90.1,14.72,13.99,200,100,25,3.2
C-200x100x25x4.0,13.63,1052.1,105.21,105.21,111.6,18.21,17.36,200,100,25,4.0
C-200x100x25x4.5,15.26,1172.2,117.22,117.22,124.9,20.37,19.44,200,100,25,4.5
C-250x75x25x3.2,10.98,1288.1,103.05,103.05,40.4,8.82,13.99,250,75,25,3.2
C-250x75x25x4.0,13.63,1585.1,126.81,126.81,50.2,10.94,17.36,250,75,25,4.0
C-250x75x25x4.5,15.26,1765.8,141.26,141.26,56.1,12.23,19.44,250,75,25,4.5
C-250x75x25x6.0,20.06,2285.1,182.81,182.81,73.7,16.07,25.56,250,75,25,6.0
C-250x100x25x3.2,11.98,1366.3,109.3,109.3,91.6,14.99,15.27,250,100,25,3.2
C-250x100x25x4.0,14.87,1683.7,134.7,134.7,113.7,18.58,18.95,250,100,25,4.0
C-250x100x25x4.5,16.65,1878.7,150.3,150.3,127.5,20.82,21.22,250,100,25,4.5
C-250x100x25x6.0,21.93,2445.1,195.61,195.61,168.0,27.43,27.96,250,100,25,6.0
C-300x100x25x4.0,16.11,2828.5,188.57,188.57,115.5,18.92,20.54,300,100,25,4.0
C-300x100x25x4.5,18.05,3157.3,210.49,210.49,129.4,21.18,22.98,300,100,25,4.5
C-300x100x25x6.0,23.8,4126.2,275.08,275.08,171.6,28.09,30.33,300,100,25,6.0
